Fecha,1,2,3,media(SR).m2
2026-01-10,0,0,0,0.0
2026-02-02,338,120,77,713.3333333
2026-02-09,3,4,16,30.66666667
2026-02-16,26,31,65,162.6666667
2026-02-23,128,154,64,461.3333333
2026-03-02,4,6,2,16.0
2026-03-09,66,44,63,230.6666667
2026-03-16,713,422,485,2160.0
2026-03-23,42,59,62,217.3333333
2026-03-30,255,169,370,1058.666667
2026-04-06,63,42,84,252.0
2026-04-13,94,60,104,344.0
2026-04-20,72,22,40,178.6666667
2026-04-27,17,10,14,54.66666667
2026-05-04,14,13,14,54.66666667
2026-05-11,32,21,28,108.0
2026-05-18,44,11,47,136.0
2026-05-25,24,20,17,81.33333333
2026-06-01,8,4,5,22.66666667
2026-06-15,113,49,71,310.6666667
2026-06-22,22,16,27,86.66666667
2026-06-29,17,2,9,37.33333333
2026-07-06,3,7,15,33.33333333
2026-07-13,9,3,11,30.66666667
2026-07-20,14,5,19,50.66666667
2026-07-27,12,15,13,53.33333333
2026-08-03,14,9,11,45.33333333
2026-08-10,11,10,15,48.0
2026-08-17,6,15,11,42.66666667
2026-08-24,2,4,0,8.0
2026-08-31,2,3,1,8.0
2026-09-07,0,1,2,4.0
2026-09-14,0,0,0,0.0
