Fecha,TMAX,TMIN,Prec,Fuente,TipoDato
2026-01-01,34.9,11.3,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-02,30.8,7.1,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-03,25.4,9.9,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-04,31.2,4.8,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-05,33.3,11.4,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-06,26.4,18.8,0.25,SIGA_INTA_BORDENAVE,Observado
2026-01-07,30.1,16.2,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-08,28.5,11.5,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-09,31.3,11.8,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-10,36.0,11.2,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-11,40.2,14.8,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-12,31.9,20.5,17.5,SIGA_INTA_BORDENAVE,Observado
2026-01-13,30.9,15.0,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-14,35.5,18.4,0.25,SIGA_INTA_BORDENAVE,Observado
2026-01-15,31.9,17.1,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-16,32.9,12.4,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-17,34.2,17.5,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-18,27.2,11.5,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-19,28.1,8.7,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-20,31.9,12.1,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-21,34.7,17.2,9.75,SIGA_INTA_BORDENAVE,Observado
2026-01-22,33.1,15.5,37.25,SIGA_INTA_BORDENAVE,Observado
2026-01-23,31.4,18.2,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-24,33.1,17.6,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-25,35.6,22.2,24.75,SIGA_INTA_BORDENAVE,Observado
2026-01-26,32.4,18.8,0.25,SIGA_INTA_BORDENAVE,Observado
2026-01-27,32.1,13.4,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-28,35.0,17.1,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-29,35.8,18.7,0.0,SIGA_INTA_BORDENAVE,Observado
2026-01-30,36.2,17.2,0.0,SIGA_INTA_BORDENAVE,Observado
